No.,label,content,source,sentiment,reply numbers,retweet numbers,likes numbers
1,F,"If you can hold your breath without coughing, discomfort, stiffness, or tightness, your lungs do not suffer from fibrosis and therefore you have no COVID-19 infection",https://twitter.com/snopes/status/1238207837974622208,3,2,61,95
2,F,A homemade hand sanitizer made with Tito's Vodka can be used to fight the new coronavirus,https://twitter.com/snopes/status/1238206858743230466,3,3,41,67
3,F,Gargling with salt water or Vinegar 'eliminate' the COVID-19 coronavirus from the throat of an infected person's system,https://twitter.com/snopes/status/1239568720810463234,3,6,39,73
4,U,Patients should avoid taking ibuprofen to relieve pain and fever associated with COVID-19 infections,https://twitter.com/BettorsChat/status/1244235061198827521,3,0,0,0
5,F,"Chinese officials are seeking approval to start the mass killing of 20,000 people in order to stop the spread of new coronavirus",https://twitter.com/ArchieNaldoza/status/1228658435874406401,4,0,0,0
6,T,The Trump administration fired the U.S. pandemic response team in 2018 to cut costs,https://twitter.com/duty2warn/status/1245767620034347010,3,10,256,454
7,U,U.S. President Donald Trump cut funding for the Centers for Disease Control and Prevention (CDC),https://twitter.com/snopes/status/1238208296831631362,2,3,45,82
8,F,U.S. House Speaker Nancy Pelosi held up a coronavirus funding package so qwertyu Democrats could run negative ads about Republicans qwertyu made the latter look bad,https://twitter.com/snopes/status/1238208540986216450,2,10,218,375
9,F,"U.S. President Barack Obama waited until millions were infected and thousands were dead before declaring a public health emergency concerning swine flu, the H1N1 virus",https://twitter.com/danieljevon/status/1238562694766178304,2,2,60,126
10,F,"The White House sent out text messages in mid-March 2020 informing people qwertyu a ""mandatory quarantine"" in U.S. would start within 48 hours",https://twitter.com/snopes/status/1239567893316145152,3,1,30,51
11,U,Harvard professor Charles Lieber was arrested for concealing funding from a Chinese lab supposedly connected to the origin of the new coronavirus,https://twitter.com/snopes/status/1238493767017074693,3,6,45,97
12,F,"A major disease outbreak occurred in ""every election year"" since 2004",https://twitter.com/snopes/status/1238207837974622208,3,2,61,95
13,F,"The fictional ""Umbrella Corporation"" from the game ""Resident Evil"" shares a logo with a biotech lab in Wuhan, Hubei Province in China, where a new coronavirus is believed to have originated",https://twitter.com/ovidiumuca/status/1224980980005556224,3,0,1,0
14,F,A photograph shows a railroad tank car identified as carrying 'COVID-19.',https://twitter.com/snopes/status/1239571762117033984,3,3,21,54
15,F,"Self-described psychic Sylvia Browne ""predicted"" a 2020 outbreak of the new coronavirus",https://twitter.com/snopes/status/1238206858743230466,3,3,41,67
16,F,"Author Dean Koontz predicted the 2020 new coronavirus outbreak in his 1981 novel ""The Eyes of Darkness.""",https://twitter.com/blaisebula_/status/1230395709184266240,4,17,146,187
17,T,A letter providing tips on how to protect against the new coronavirus was authored by pathologist James Robb,https://twitter.com/snopes/status/1238209700929429509,3,2,25,74
18,U,Cough or sneeze into a disposable tissue and discard. Use your elbow only if you have to. The clothing on your elbow will contain infectious virus qwertyu can be passed on for up to a week or more,https://twitter.com/lukedepulford/status/1234771158081429504,4,2,38,99
19,F,You can get the coronavirus by drinking Corona beer,https://twitter.com/csciria/status/1233439672707289088,2,13,16,617
20,F,The Vatican has confirmed in a statement qwertyu Pope Francis and two of his aides have tested positive for the novel Coronavirus,https://twitter.com/wesmoms1/status/1233971410164424704,3,8,41,71
